2018-04-22T19:23:44.9165824+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9242752+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9328000+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9409920+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9492864+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9576192+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9659520+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9742848+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9826304+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9909632+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:44.9993088+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0076160+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0159616+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0242944+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0326400+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0409600+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0492928+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0576384+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0659584+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0743936+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0826368+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0909696+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.0993024+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1076352+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1160064+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1243008+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1327360+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1409792+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1493120+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1576320+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1660288+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1743744+01:00 BallTracking (0.1522342, 0.3207981) 
